crm_account_id,Transaction_date,Transaction_amount
6467,"Sunday, September 22, 2019",2888
9377,"Sunday, September 22, 2019",4972
4923,"Sunday, September 22, 2019",2888
9268,"Sunday, September 22, 2019",3166
16418,"Sunday, September 22, 2019",8444
11398,"Sunday, September 22, 2019",2888
5448,"Sunday, September 22, 2019",29277
8924,"Sunday, September 22, 2019",2888
5002,"Sunday, September 22, 2019",4277
7459,"Sunday, September 22, 2019",43166
16726,"Sunday, September 22, 2019",2888
1821,"Sunday, September 22, 2019",43166
16313,"Sunday, September 22, 2019",2888
6878,"Sunday, September 22, 2019",4277
2499,"Sunday, September 22, 2019",8444
4061,"Sunday, September 22, 2019",43166
4917,"Sunday, September 22, 2019",2888
10415,"Sunday, September 22, 2019",15388
1062,"Sunday, September 22, 2019",43166
9693,"Sunday, September 22, 2019",2888
6305,"Sunday, September 22, 2019",4277
12595,"Sunday, September 22, 2019",4277
10299,"Sunday, September 22, 2019",7055
16398,"Sunday, September 22, 2019",46027
16749,"Sunday, September 22, 2019",2888
1917,"Sunday, September 22, 2019",4277
5808,"Sunday, September 22, 2019",2888
2682,"Sunday, September 22, 2019",209833
16717,"Sunday, September 22, 2019",2888
12463,"Sunday, September 22, 2019",15388
10444,"Sunday, September 22, 2019",2888
2275,"Sunday, September 22, 2019",2888
9519,"Sunday, September 22, 2019",5666
5249,"Sunday, September 22, 2019",2888
9052,"Sunday, September 22, 2019",29277
14505,"Sunday, September 22, 2019",2888
7249,"Sunday, September 22, 2019",279277
9923,"Sunday, September 22, 2019",140388
10961,"Sunday, September 22, 2019",140388
13600,"Sunday, September 22, 2019",2888
7499,"Sunday, September 22, 2019",8444
2949,"Sunday, September 22, 2019",22333
16762,"Sunday, September 22, 2019",2888
9052,"Sunday, September 22, 2019",8444
16069,"Sunday, September 22, 2019",2888
7261,"Sunday, September 22, 2019",2888
12980,"Sunday, September 22, 2019",4972
833,"Sunday, September 22, 2019",30666
7282,"Sunday, September 22, 2019",57055
6261,"Sunday, September 22, 2019",2888
341,"Sunday, September 22, 2019",29277
13600,"Sunday, September 22, 2019",2888
13069,"Sunday, September 22, 2019",2888
2295,"Sunday, September 22, 2019",4277
16190,"Sunday, September 22, 2019",2888
5245,"Sunday, September 22, 2019",2888
9310,"Sunday, September 22, 2019",2888
16538,"Monday, September 23, 2019",4277
16538,"Monday, September 23, 2019",26500
7747,"Monday, September 23, 2019",2888
3923,"Monday, September 23, 2019",2888
16731,"Monday, September 23, 2019",39694
11924,"Monday, September 23, 2019",4277
10444,"Monday, September 23, 2019",2888
9377,"Monday, September 23, 2019",4972
13783,"Monday, September 23, 2019",2888
13425,"Monday, September 23, 2019",2888
3370,"Monday, September 23, 2019",2888
14530,"Monday, September 23, 2019",2888
6467,"Monday, September 23, 2019",2888
6942,"Monday, September 23, 2019",5666
576,"Monday, September 23, 2019",4277
719,"Monday, September 23, 2019",2888
11398,"Monday, September 23, 2019",8444
6948,"Monday, September 23, 2019",9833
13788,"Monday, September 23, 2019",4277
5146,"Monday, September 23, 2019",70944
16482,"Monday, September 23, 2019",8444
11393,"Monday, September 23, 2019",4277
15760,"Monday, September 23, 2019",3027
11542,"Monday, September 23, 2019",2888
13405,"Monday, September 23, 2019",7750
14471,"Monday, September 23, 2019",8444
15377,"Monday, September 23, 2019",5666
12463,"Monday, September 23, 2019",29277
16813,"Monday, September 23, 2019",2888
7141,"Monday, September 23, 2019",4277
16788,"Monday, September 23, 2019",3416
3022,"Monday, September 23, 2019",209833
4125,"Monday, September 23, 2019",15388
7053,"Monday, September 23, 2019",9138
9904,"Monday, September 23, 2019",29277
6084,"Monday, September 23, 2019",4277
6261,"Monday, September 23, 2019",2888
16972,"Monday, September 23, 2019",2888
15053,"Monday, September 23, 2019",8444
16712,"Monday, September 23, 2019",2888
4209,"Monday, September 23, 2019",7888
10295,"Monday, September 23, 2019",40388
2295,"Monday, September 23, 2019",4277
14291,"Monday, September 23, 2019",15388
9017,"Monday, September 23, 2019",14000
12296,"Monday, September 23, 2019",4277
9693,"Monday, September 23, 2019",2888
9985,"Monday, September 23, 2019",5666
6467,"Monday, September 23, 2019",2888
10299,"Monday, September 23, 2019",5666
16683,"Monday, September 23, 2019",4416
15637,"Monday, September 23, 2019",6361
16811,"Monday, September 23, 2019",4277
16992,"Monday, September 23, 2019",2888
13990,"Monday, September 23, 2019",2888
191,"Monday, September 23, 2019",2888
5245,"Monday, September 23, 2019",2888
16719,"Tuesday, September 24, 2019",7888
16719,"Tuesday, September 24, 2019",65388
10444,"Tuesday, September 24, 2019",2888
3923,"Tuesday, September 24, 2019",2888
12385,"Tuesday, September 24, 2019",8444
6084,"Tuesday, September 24, 2019",4277
16726,"Tuesday, September 24, 2019",3416
6028,"Tuesday, September 24, 2019",4277
13600,"Tuesday, September 24, 2019",2888
16988,"Tuesday, September 24, 2019",4277
9377,"Tuesday, September 24, 2019",4972
11536,"Tuesday, September 24, 2019",348722
6467,"Tuesday, September 24, 2019",2888
11851,"Tuesday, September 24, 2019",8444
10090,"Tuesday, September 24, 2019",84833
15430,"Tuesday, September 24, 2019",5666
1386,"Tuesday, September 24, 2019",140388
5267,"Tuesday, September 24, 2019",15388
15698,"Tuesday, September 24, 2019",7055
6783,"Tuesday, September 24, 2019",2888
5540,"Tuesday, September 24, 2019",15388
882,"Tuesday, September 24, 2019",2888
14668,"Tuesday, September 24, 2019",8444
16811,"Tuesday, September 24, 2019",8444
4345,"Tuesday, September 24, 2019",29277
16992,"Tuesday, September 24, 2019",3027
2295,"Tuesday, September 24, 2019",4277
12799,"Tuesday, September 24, 2019",3583
16069,"Tuesday, September 24, 2019",2888
7243,"Tuesday, September 24, 2019",8444
17013,"Tuesday, September 24, 2019",4277
6414,"Tuesday, September 24, 2019",2888
14378,"Tuesday, September 24, 2019",8444
5462,"Tuesday, September 24, 2019",2888
1861,"Tuesday, September 24, 2019",2084833
16791,"Tuesday, September 24, 2019",2888
6305,"Tuesday, September 24, 2019",2888
10299,"Tuesday, September 24, 2019",5666
17015,"Tuesday, September 24, 2019",4277
3465,"Tuesday, September 24, 2019",8444
16712,"Tuesday, September 24, 2019",4416
15061,"Tuesday, September 24, 2019",2888
8335,"Tuesday, September 24, 2019",2888
16538,"Tuesday, September 24, 2019",8444
16538,"Tuesday, September 24, 2019",70944
12670,"Tuesday, September 24, 2019",22513
4923,"Tuesday, September 24, 2019",2888
10400,"Tuesday, September 24, 2019",8444
1627,"Tuesday, September 24, 2019",7750
12123,"Tuesday, September 24, 2019",14242
16419,"Tuesday, September 24, 2019",50111
15222,"Tuesday, September 24, 2019",15869
11536,"Tuesday, September 24, 2019",6735
7282,"Tuesday, September 24, 2019",6687
17013,"Tuesday, September 24, 2019",5779
8053,"Tuesday, September 24, 2019",5387
7249,"Tuesday, September 24, 2019",4994
5982,"Tuesday, September 24, 2019",4706
14378,"Tuesday, September 24, 2019",3344
1386,"Tuesday, September 24, 2019",3339
10961,"Tuesday, September 24, 2019",2994
16538,"Tuesday, September 24, 2019",2987
9048,"Tuesday, September 24, 2019",2897
12325,"Tuesday, September 24, 2019",2669
6263,"Tuesday, September 24, 2019",2557
5432,"Tuesday, September 24, 2019",2420
9219,"Tuesday, September 24, 2019",2408
4061,"Tuesday, September 24, 2019",2381
14199,"Tuesday, September 24, 2019",2375
6070,"Tuesday, September 24, 2019",2267
14760,"Tuesday, September 24, 2019",2131
57,"Tuesday, September 24, 2019",2130
10543,"Tuesday, September 24, 2019",2114
12982,"Tuesday, September 24, 2019",2087
11489,"Tuesday, September 24, 2019",2085
9942,"Tuesday, September 24, 2019",2083
14291,"Tuesday, September 24, 2019",2075
6296,"Tuesday, September 24, 2019",2031
12463,"Tuesday, September 24, 2019",2028
10772,"Tuesday, September 24, 2019",2017
5860,"Tuesday, September 24, 2019",1981
14218,"Tuesday, September 24, 2019",1955
1821,"Tuesday, September 24, 2019",1949
5237,"Tuesday, September 24, 2019",1913
5660,"Tuesday, September 24, 2019",1900
12230,"Tuesday, September 24, 2019",1885
7040,"Tuesday, September 24, 2019",1870
5448,"Tuesday, September 24, 2019",1841
922,"Tuesday, September 24, 2019",1813
1090,"Tuesday, September 24, 2019",1800
1062,"Tuesday, September 24, 2019",1797
7518,"Tuesday, September 24, 2019",1794
9017,"Tuesday, September 24, 2019",1792
9481,"Tuesday, September 24, 2019",1765
10222,"Tuesday, September 24, 2019",1761
9295,"Tuesday, September 24, 2019",1757
12385,"Tuesday, September 24, 2019",1750
5245,"Tuesday, September 24, 2019",1747
2589,"Tuesday, September 24, 2019",1745
833,"Tuesday, September 24, 2019",1738
5146,"Tuesday, September 24, 2019",1729
4209,"Tuesday, September 24, 2019",1724
10090,"Tuesday, September 24, 2019",1721
6084,"Tuesday, September 24, 2019",1719
8798,"Tuesday, September 24, 2019",1684
10299,"Tuesday, September 24, 2019",1667
11558,"Tuesday, September 24, 2019",1666
4549,"Tuesday, September 24, 2019",1665
9377,"Tuesday, September 24, 2019",1663
16398,"Tuesday, September 24, 2019",1655
6920,"Tuesday, September 24, 2019",1652
4309,"Tuesday, September 24, 2019",1646
10533,"Tuesday, September 24, 2019",1639
1133,"Tuesday, September 24, 2019",1639
12344,"Tuesday, September 24, 2019",1637
10770,"Tuesday, September 24, 2019",1637
5761,"Tuesday, September 24, 2019",1635
14613,"Tuesday, September 24, 2019",1626
1863,"Tuesday, September 24, 2019",1620
5414,"Tuesday, September 24, 2019",1610
15053,"Tuesday, September 24, 2019",1608
7500,"Tuesday, September 24, 2019",1599
15637,"Tuesday, September 24, 2019",1595
14455,"Tuesday, September 24, 2019",1595
1907,"Tuesday, September 24, 2019",1595
5002,"Tuesday, September 24, 2019",1587
5184,"Tuesday, September 24, 2019",1585
14663,"Tuesday, September 24, 2019",1583
2295,"Tuesday, September 24, 2019",1578
15739,"Tuesday, September 24, 2019",1572
12475,"Tuesday, September 24, 2019",1572
11633,"Tuesday, September 24, 2019",1566
4052,"Tuesday, September 24, 2019",1566
7232,"Tuesday, September 24, 2019",1566
15667,"Tuesday, September 24, 2019",1564
6898,"Tuesday, September 24, 2019",1559
6783,"Tuesday, September 24, 2019",1554
6948,"Tuesday, September 24, 2019",1552
14615,"Tuesday, September 24, 2019",1552
9693,"Tuesday, September 24, 2019",1549
12296,"Tuesday, September 24, 2019",1549
8578,"Tuesday, September 24, 2019",1548
5868,"Tuesday, September 24, 2019",1547
16321,"Tuesday, September 24, 2019",1543
2682,"Tuesday, September 24, 2019",1541
3370,"Tuesday, September 24, 2019",1540
2426,"Tuesday, September 24, 2019",1538
14451,"Tuesday, September 24, 2019",1537
7243,"Tuesday, September 24, 2019",1537
6942,"Tuesday, September 24, 2019",1537
8697,"Tuesday, September 24, 2019",1536
11851,"Tuesday, September 24, 2019",1536
5095,"Tuesday, September 24, 2019",1534
15052,"Tuesday, September 24, 2019",1533
5267,"Tuesday, September 24, 2019",1531
7709,"Tuesday, September 24, 2019",1531
7261,"Tuesday, September 24, 2019",1529
11398,"Tuesday, September 24, 2019",1527
9923,"Tuesday, September 24, 2019",1527
12923,"Tuesday, September 24, 2019",1525
14446,"Tuesday, September 24, 2019",1523
11835,"Tuesday, September 24, 2019",1522
13052,"Tuesday, September 24, 2019",1521
11424,"Tuesday, September 24, 2019",1521
12799,"Tuesday, September 24, 2019",1519
11542,"Tuesday, September 24, 2019",1517
8451,"Tuesday, September 24, 2019",1517
11235,"Tuesday, September 24, 2019",1517
5434,"Tuesday, September 24, 2019",1517
191,"Tuesday, September 24, 2019",1516
882,"Tuesday, September 24, 2019",1516
1873,"Tuesday, September 24, 2019",1513
2225,"Tuesday, September 24, 2019",1513
15321,"Tuesday, September 24, 2019",1513
9073,"Tuesday, September 24, 2019",1508
9473,"Tuesday, September 24, 2019",1508
10444,"Tuesday, September 24, 2019",1507
6467,"Tuesday, September 24, 2019",1506
6028,"Tuesday, September 24, 2019",1506
6688,"Tuesday, September 24, 2019",1506
3022,"Tuesday, September 24, 2019",1505
14471,"Tuesday, September 24, 2019",1505
10960,"Tuesday, September 24, 2019",1505
9534,"Tuesday, September 24, 2019",1505
13242,"Tuesday, September 24, 2019",1505
6027,"Tuesday, September 24, 2019",1505
11924,"Tuesday, September 24, 2019",1504
5540,"Tuesday, September 24, 2019",1504
13636,"Tuesday, September 24, 2019",1504
10378,"Tuesday, September 24, 2019",1504
1511,"Tuesday, September 24, 2019",1504
1001,"Tuesday, September 24, 2019",1504
2843,"Tuesday, September 24, 2019",1504
447,"Tuesday, September 24, 2019",1504
5385,"Tuesday, September 24, 2019",1503
1568,"Tuesday, September 24, 2019",1503
8877,"Tuesday, September 24, 2019",1503
4917,"Tuesday, September 24, 2019",1503
8604,"Tuesday, September 24, 2019",1502
6173,"Tuesday, September 24, 2019",1502
1319,"Tuesday, September 24, 2019",1502
7114,"Tuesday, September 24, 2019",1502
11763,"Tuesday, September 24, 2019",1502
7810,"Tuesday, September 24, 2019",1502
29,"Tuesday, September 24, 2019",1502
14336,"Tuesday, September 24, 2019",1502
10210,"Tuesday, September 24, 2019",1502
15698,"Tuesday, September 24, 2019",1502
1255,"Tuesday, September 24, 2019",1502
2942,"Tuesday, September 24, 2019",1501
10320,"Tuesday, September 24, 2019",1500
5582,"Tuesday, September 24, 2019",140388
11645,"Tuesday, September 24, 2019",8444
10091,"Tuesday, September 24, 2019",2888
17032,"Tuesday, September 24, 2019",3583
17021,"Tuesday, September 24, 2019",2888
12296,"Tuesday, September 24, 2019",4277
10687,"Tuesday, September 24, 2019",2888
12497,"Tuesday, September 24, 2019",2888
17020,"Tuesday, September 24, 2019",2888
9517,"Tuesday, September 24, 2019",57055
16538,"Tuesday, September 24, 2019",64000
5245,"Tuesday, September 24, 2019",2888
16538,"Tuesday, September 24, 2019",15388
16538,"Tuesday, September 24, 2019",126500
16554,"Tuesday, September 24, 2019",6361
16164,"Tuesday, September 24, 2019",4416
7196,"Tuesday, September 24, 2019",3583
9519,"Tuesday, September 24, 2019",2888
6920,"Wednesday, September 25, 2019",29277
13421,"Wednesday, September 25, 2019",4277
16992,"Wednesday, September 25, 2019",2888
3923,"Wednesday, September 25, 2019",2888
15444,"Wednesday, September 25, 2019",2888
11924,"Wednesday, September 25, 2019",4277
10444,"Wednesday, September 25, 2019",2888
15601,"Wednesday, September 25, 2019",2888
2295,"Wednesday, September 25, 2019",4277
11536,"Wednesday, September 25, 2019",279277
11536,"Wednesday, September 25, 2019",695944
14514,"Wednesday, September 25, 2019",2888
9377,"Wednesday, September 25, 2019",4972
1271,"Wednesday, September 25, 2019",4277
13600,"Wednesday, September 25, 2019",2888
9693,"Wednesday, September 25, 2019",2888
9195,"Wednesday, September 25, 2019",63913
9073,"Wednesday, September 25, 2019",15388
6070,"Wednesday, September 25, 2019",70944
16538,"Wednesday, September 25, 2019",15388
15964,"Wednesday, September 25, 2019",3583
16726,"Wednesday, September 25, 2019",3375
887,"Wednesday, September 25, 2019",8444
5502,"Wednesday, September 25, 2019",22333
719,"Wednesday, September 25, 2019",2888
769,"Wednesday, September 25, 2019",2888
11952,"Wednesday, September 25, 2019",6416
12463,"Wednesday, September 25, 2019",43166
13788,"Wednesday, September 25, 2019",4277
10628,"Wednesday, September 25, 2019",2888
1039,"Wednesday, September 25, 2019",2888
16538,"Wednesday, September 25, 2019",43166
10299,"Wednesday, September 25, 2019",5666
3409,"Wednesday, September 25, 2019",2888
15698,"Wednesday, September 25, 2019",4277
4597,"Wednesday, September 25, 2019",8444
7854,"Wednesday, September 25, 2019",2888
13057,"Wednesday, September 25, 2019",5666
11694,"Wednesday, September 25, 2019",2888
15321,"Wednesday, September 25, 2019",15388
7499,"Wednesday, September 25, 2019",5666
6467,"Wednesday, September 25, 2019",2888
7982,"Wednesday, September 25, 2019",2888
16187,"Wednesday, September 25, 2019",2888
16538,"Wednesday, September 25, 2019",279277
7569,"Wednesday, September 25, 2019",2888
9831,"Wednesday, September 25, 2019",8444
15321,"Wednesday, September 25, 2019",14242
16321,"Wednesday, September 25, 2019",8444
14218,"Wednesday, September 25, 2019",15388
15223,"Wednesday, September 25, 2019",2888
10543,"Wednesday, September 25, 2019",8444
5660,"Wednesday, September 25, 2019",6597
16538,"Wednesday, September 25, 2019",2501501
9693,"Wednesday, September 25, 2019",2888
4061,"Wednesday, September 25, 2019",84833
16719,"Wednesday, September 25, 2019",19555
12327,"Wednesday, September 25, 2019",7822
9377,"Wednesday, September 25, 2019",4972
13792,"Wednesday, September 25, 2019",98722
15321,"Wednesday, September 25, 2019",14242
2536,"Wednesday, September 25, 2019",3583
4209,"Wednesday, September 25, 2019",15388
6084,"Wednesday, September 25, 2019",2888
4380,"Wednesday, September 25, 2019",4277
15775,"Wednesday, September 25, 2019",2888
6125,"Thursday, September 26, 2019",5666
16190,"Thursday, September 26, 2019",2888
2295,"Thursday, September 26, 2019",3245
10444,"Thursday, September 26, 2019",2888
5245,"Thursday, September 26, 2019",2888
6467,"Thursday, September 26, 2019",2888
13783,"Thursday, September 26, 2019",9833
2499,"Thursday, September 26, 2019",8444
16148,"Thursday, September 26, 2019",8444
15377,"Thursday, September 26, 2019",5666
10378,"Thursday, September 26, 2019",418166
6878,"Thursday, September 26, 2019",4277
3923,"Thursday, September 26, 2019",2888
9377,"Thursday, September 26, 2019",4972
833,"Thursday, September 26, 2019",57055
13161,"Thursday, September 26, 2019",2888
8451,"Thursday, September 26, 2019",4277
3370,"Thursday, September 26, 2019",2888
16071,"Thursday, September 26, 2019",2888
10400,"Thursday, September 26, 2019",8444
16484,"Thursday, September 26, 2019",2888
13699,"Thursday, September 26, 2019",37333
5385,"Thursday, September 26, 2019",4277
4923,"Thursday, September 26, 2019",2888
7620,"Thursday, September 26, 2019",140388
12779,"Thursday, September 26, 2019",2888
15760,"Thursday, September 26, 2019",2944
14619,"Thursday, September 26, 2019",4277
14619,"Thursday, September 26, 2019",29277
9693,"Thursday, September 26, 2019",2888
7282,"Thursday, September 26, 2019",29277
16972,"Thursday, September 26, 2019",2888
13600,"Thursday, September 26, 2019",2888
16221,"Thursday, September 26, 2019",8444
10073,"Thursday, September 26, 2019",14242
16187,"Thursday, September 26, 2019",2888
10478,"Thursday, September 26, 2019",8444
13971,"Thursday, September 26, 2019",2888
1731,"Thursday, September 26, 2019",2888
17104,"Thursday, September 26, 2019",2888
15601,"Thursday, September 26, 2019",2888
16164,"Thursday, September 26, 2019",2958
4664,"Thursday, September 26, 2019",2888
9958,"Thursday, September 26, 2019",4277
16129,"Thursday, September 26, 2019",2888
5212,"Friday, September 27, 2019",2888
16190,"Friday, September 27, 2019",2888
882,"Friday, September 27, 2019",2888
8697,"Friday, September 27, 2019",2888
3923,"Friday, September 27, 2019",2888
6084,"Friday, September 27, 2019",4277
6878,"Friday, September 27, 2019",2888
13242,"Friday, September 27, 2019",2888
12322,"Friday, September 27, 2019",15388
17119,"Friday, September 27, 2019",2888
10444,"Friday, September 27, 2019",2888
16187,"Friday, September 27, 2019",2888
12296,"Friday, September 27, 2019",4277
12475,"Friday, September 27, 2019",4277
14411,"Friday, September 27, 2019",2888
6173,"Friday, September 27, 2019",15388
9377,"Friday, September 27, 2019",4972
10299,"Friday, September 27, 2019",5666
16497,"Friday, September 27, 2019",2888
16554,"Friday, September 27, 2019",5666
13723,"Friday, September 27, 2019",4277
13723,"Friday, September 27, 2019",2958
16190,"Friday, September 27, 2019",2888
14073,"Friday, September 27, 2019",2888
17098,"Friday, September 27, 2019",2888
2295,"Friday, September 27, 2019",4000
845,"Friday, September 27, 2019",2888
17143,"Friday, September 27, 2019",5258
15377,"Friday, September 27, 2019",5250
13428,"Friday, September 27, 2019",2888
6467,"Saturday, September 28, 2019",2888
13421,"Saturday, September 28, 2019",4277
16633,"Saturday, September 28, 2019",7055
15698,"Saturday, September 28, 2019",4277
11308,"Saturday, September 28, 2019",3444
12463,"Saturday, September 28, 2019",15388
11393,"Saturday, September 28, 2019",4277
5245,"Saturday, September 28, 2019",2888
9377,"Saturday, September 28, 2019",4972
7459,"Saturday, September 28, 2019",43166
6467,"Saturday, September 28, 2019",2888
8451,"Saturday, September 28, 2019",4277
7249,"Saturday, September 28, 2019",279277
8924,"Saturday, September 28, 2019",2888
14029,"Saturday, September 28, 2019",2888
13600,"Saturday, September 28, 2019",4277
14073,"Saturday, September 28, 2019",2888
191,"Saturday, September 28, 2019",4277
9334,"Saturday, September 28, 2019",140388
12325,"Saturday, September 28, 2019",695944
12385,"Saturday, September 28, 2019",2888
14446,"Saturday, September 28, 2019",15388
11924,"Saturday, September 28, 2019",4277
16726,"Saturday, September 28, 2019",3125
14291,"Saturday, September 28, 2019",8444
2499,"Saturday, September 28, 2019",8444
8578,"Saturday, September 28, 2019",29277
17069,"Saturday, September 28, 2019",8444
7040,"Saturday, September 28, 2019",43166
7282,"Saturday, September 28, 2019",29277
10444,"Saturday, September 28, 2019",2888
181,"Saturday, September 28, 2019",20944
16199,"Saturday, September 28, 2019",2888
3877,"Saturday, September 28, 2019",4277
1627,"Saturday, September 28, 2019",7055
1241,"Saturday, September 28, 2019",4277
3923,"Saturday, September 28, 2019",2888
17153,"Saturday, September 28, 2019",2888
13020,"Saturday, September 28, 2019",2888
2589,"Saturday, September 28, 2019",29277
5237,"Saturday, September 28, 2019",84833
7021,"Saturday, September 28, 2019",2888
2295,"Saturday, September 28, 2019",4000
8335,"Saturday, September 28, 2019",2888
1511,"Saturday, September 28, 2019",8444
16314,"Saturday, September 28, 2019",2888
5139,"Saturday, September 28, 2019",2888
11398,"Saturday, September 28, 2019",8444
6917,"Saturday, September 28, 2019",14236
11852,"Saturday, September 28, 2019",8444
9017,"Saturday, September 28, 2019",43166
14668,"Saturday, September 28, 2019",8444
9693,"Saturday, September 28, 2019",2888
3925,"Saturday, September 28, 2019",29277
3776,"Saturday, September 28, 2019",2888
14218,"Saturday, September 28, 2019",5666
11021,"Saturday, September 28, 2019",4833
14218,"Saturday, September 28, 2019",11222
9580,"Saturday, September 28, 2019",2888
16712,"Saturday, September 28, 2019",6108
12327,"Saturday, September 28, 2019",39729
4917,"Saturday, September 28, 2019",2888
2117,"Saturday, September 28, 2019",10250
8386,"Saturday, September 28, 2019",4277
14717,"Saturday, September 28, 2019",4277
15697,"Saturday, September 28, 2019",2888
8272,"Saturday, September 28, 2019",15388
17150,"Saturday, September 28, 2019",70944
9219,"Saturday, September 28, 2019",140388
10961,"Saturday, September 28, 2019",140388
2055,"Saturday, September 28, 2019",57055
7499,"Saturday, September 28, 2019",4277
13556,"Saturday, September 28, 2019",84833
10533,"Saturday, September 28, 2019",43166
576,"Saturday, September 28, 2019",4277
12385,"Saturday, September 28, 2019",5666
17154,"Saturday, September 28, 2019",8444
6084,"Saturday, September 28, 2019",4277
8271,"Saturday, September 28, 2019",29277
4212,"Saturday, September 28, 2019",2888
